fire_station,battalion,address,latitude,longitude
42,B10,2430 San Bruno Avenue at Silver Avenue,37.7316319,-122.4054193
"48,B03,""800 Avenue I at 10th Street, Treasure Island"",37.82678569999999,-122.3693393"
43,B09,720 Moscow Street at France Avenue,37.7163013,-122.4315382
49,B10,1415 Evans Avenue at Mendell Street,37.7409803,-122.3852869
02,B01,1340 Powell Street at Broadway,37.7970557,-122.4099161
03,B04,1067 Post Street at Polk Street ,37.78663,-122.4193178
26,B06,80 Digby Street at Addison Street,37.7402791,-122.4333702
01,B02,935 Folsom at 5th Street,37.7794237,-122.4041047
06,B02,135 Sanchez Street at Henry Street,37.767048,-122.430779
07,B06,2300 Folsom Street at 19th Street,37.7603719,-122.4151515
04,B03,449 Mission Rock at 3rd Street ,37.7728213,-122.3890553
05,B05,1301 Turk Street at Webster Street,37.7804434,-122.430725
08,B03,36 Bluxome Street at 4th Street,37.7771938,-122.3966579
09,B10,2245 Jerrold Avenue at Upton Street,37.7452446,-122.4012405
28,B01,1814 Stockton Street at Greenwich Street,37.8025465,-122.4094261
29,B02,299 Vermont Street at 16th Street,37.7661672,-122.4043219
40,B08,2155 18th Avenue at Rivera Street,37.7476105,-122.4751619
41,B01,1325 Leavenworth Street at Jackson Street,37.7934026,-122.4163795
14,B07,551 26th Avenue at Geary Boulevard,37.7790053,-122.4859487
51,B04,218 Lincoln Blvd at Keyes Avenue,37.8016262,-122.4554315
24,B06,100 Hoffman Avenue at Alvarado Street,37.75308880000001,-122.4410844
25,B10,3305 3rd Street at Cargo Way,37.7465999,-122.3869949
39,B09,1091 Portola Drive at Miraloma Drive,37.7400312,-122.4586575
38,B04,2150 California Street at Laguna Street,37.7896652,-122.4299581
20,B08,285 Olympia Way at Clarendon Avenue,37.7511704,-122.456224
21,B05,1443 Grove Street at Broderick Street,37.7754718,-122.4403296
11,B06,3880 26th Street at Church Street,37.7488113,-122.4265073
10,B05,655 Presidio Avenue at Bush Street,37.78564799999999,-122.446634
13,B01,530 Sansome Street at Washington Street,37.7955519,-122.4014108
12,B05,1145 Stanyan Street at Grattan Street,37.7635442,-122.4525079
15,B09,1000 Ocean Avenue at Phelan Avenue,37.723487,-122.4528824
22,B07,1290 16th Avenue at Irving Street,37.7639783,-122.4736805
17,B10,1295 Shafter Avenue at Ingalls Street,37.7275136,-122.3850118
16,B04,2251 Greenwich Street at Fillmore Street,37.798666,-122.436747
19,B09,390 Buckingham Way at Winston Street,37.7278234,-122.4789421
18,B08,1935 32nd Avenue at Ortega Street,37.7509752,-122.4904843
31,B07,441 12th Avenue at Geary Boulevard,37.7798718,-122.4709543
23,B08,1348 45th Avenue at Judah Street,37.7614256,-122.5047691
37,B10,798 Wisconsin Street at 22nd Street,37.757383,-122.3990854
36,B02,109 Oak Street at Franklin Street,37.7749503,-122.4212835
"35,B03,""Pier 22½, The Embarcadero at Harrison Street"",37.790218,-122.3884571"
34,B07,499 41st Avenue at Geary Boulevard,37.7794434,-122.5027028
33,B09,8 Capital Street at Broad Street,37.7108767,-122.4585998
32,B06,194 Park Street at Holly Park Circle,37.7364417,-122.4212155
44,B10,1298 Girard Street at Wilde Avenue,37.71665400000001,-122.40049
