lat,lon,k2,k3,k4,k5,k6
37.7779560700297,-122.40670628,0,0,0,2,2
37.7844885000297,-122.40984289,0,0,0,2,2
37.8089360000297,-122.416079,0,0,0,2,2
37.7833310000297,-122.409592,0,0,0,2,2
37.7800070000297,-122.503993,1,1,2,4,4
37.7798790000297,-122.43448679,0,0,3,1,1
37.7177627800296,-122.47012547,1,1,2,3,3
37.7861930000297,-122.405144,0,0,0,2,2
37.7470077500297,-122.42893484,1,2,1,0,0
37.7866300000297,-122.401667,0,0,0,2,2
37.7538873700296,-122.46084115,1,1,2,4,4
37.7851609800297,-122.46153219,0,1,3,4,1
37.7910870000297,-122.41709,0,0,0,2,2
37.7465595500296,-122.4294521,1,2,1,0,0
37.8071230000297,-122.413058,0,0,0,2,2
37.7184980000296,-122.473711,1,1,2,3,3
37.7562846800296,-122.40837371,0,2,1,0,0
37.7607740000296,-122.384719,0,2,1,0,0
37.7540596400296,-122.39543036,0,2,1,0,0
37.7812040000297,-122.409126,0,0,0,2,2
37.7156828900296,-122.46323919,1,1,2,3,3
37.7707880000297,-122.448868,0,1,3,1,1
37.7887310000297,-122.419515,0,0,0,2,2
37.8003130000297,-122.431792,0,0,0,2,1
37.7785758400297,-122.48015876,1,1,2,4,4
37.7778180000297,-122.438741,0,0,3,1,1
37.7840848500297,-122.41315652,0,0,0,2,2
37.7870900000297,-122.413157,0,0,0,2,2
37.7898609600297,-122.41746122,0,0,0,2,2
37.7834590000297,-122.410579,0,0,0,2,2
37.7087810000296,-122.418056,1,2,1,0,5
37.7179350000296,-122.387457,1,2,1,0,5
37.7845620000297,-122.480848,0,1,2,4,4
37.7792090000297,-122.410537,0,0,0,2,2
37.7983026800297,-122.44322311,0,0,3,1,1
37.7506680000296,-122.477385,1,1,2,4,4
37.7809086200297,-122.43123814,0,0,3,1,1
37.7334388200296,-122.38046755,1,2,1,0,5
37.7400970000296,-122.506615,1,1,2,4,4
37.7767780000297,-122.47706,1,1,2,4,4
37.7146612100296,-122.43444133,1,2,1,3,3
37.7764490000297,-122.419436,0,0,0,2,2
37.7971410000297,-122.417039,0,0,0,2,2
