fire_station,mean_response_time
01,306.86901619949037
02,271.67305672268907
03,278.10043332401455
04,351.49275362318838
05,252.51584908435683
06,293.73223801065717
07,284.89133033528776
08,326.43940273745335
09,338.85051800690678
10,319.86376309970194
11,294.55748417398405
12,309.32728071459951
13,283.85304235648249
14,347.85459363957597
15,315.17010624007816
16,316.03780466109231
17,335.32045805689359
18,368.59516669606631
19,373.56897775674395
20,371.84278695846359
21,295.16882591093116
22,331.85309482349214
23,367.19285274183613
24,369.08655083655083
25,338.92075025346401
26,389.15940054495911
28,308.48617102258311
29,332.29002946954813
31,340.67422257660326
32,348.70166935918149
33,364.62477972075368
34,339.85858790208374
35,355.42596747055524
36,296.47695180832648
37,324.38007590132827
38,294.81086846114778
39,384.93000982318273
40,342.10012422360251
41,285.5211595824012
42,349.9343980765928
43,340.23273775216137
44,350.05798816568046
48,521.3631653320773
51,450.56881188118814
