station,battalion,address,latitude,longitude
2,1,1340 Powell Street at Broadway,37.7970513,-122.4099507
13,1,530 Sansome Street at Washington Street,37.7955293,-122.4013894
28,1,1814 Stockton Street at Greenwich Street,37.8025537,-122.409369
41,1,1325 Leavenworth Street at Jackson Street,37.7933971,-122.4165178
1,2,935 Folsom at 5th Street,37.7794237,-122.4041047
6,2,135 Sanchez Street at Henry Street,37.7670884,-122.4307544
29,2,299 Vermont Street at 16th Street,37.7661646,-122.4043209
36,2,109 Oak Street at Franklin Street,37.7750499,-122.4212596
4,3,449 Mission Rock at 3rd Street ,37.7727739,-122.38923
8,3,36 Bluxome Street at 4th Street,37.7772827,-122.3967853
35,3,"Pier 22½, The Embarcadero at Harrison Street",37.803367,-122.400897
48,3,"800 Avenue I at 10th Street, Treasure Island",37.8265609,-122.3694425
3,4,1067 Post Street at Polk Street ,37.7866446,-122.4193329
16,4,2251 Greenwich Street at Fillmore Street,37.7986661,-122.4367472
38,4,2150 California Street at Laguna Street,37.789693,-122.4299207
51,4,218 Lincoln Blvd at Keyes Avenue,37.80156660000001,-122.455466
5,5,1301 Turk Street at Webster Street,37.7804434,-122.430725
10,5,655 Presidio Avenue at Bush Street,37.7856729,-122.4468446
12,5,1145 Stanyan Street at Grattan Street,37.7634904,-122.4526067
21,5,1443 Grove Street at Broderick Street,37.7754351,-122.4402719
7,6,2300 Folsom Street at 19th Street,37.7602611,-122.4151762
11,6,3880 26th Street at Church Street,37.7486317,-122.4265007
24,6,100 Hoffman Avenue at Alvarado Street,37.7531106,-122.4410957
26,6,80 Digby Street at Addison Street,37.740279,-122.4333702
32,6,194 Park Street at Holly Park Circle,37.7363661,-122.4211751
14,7,551 26th Avenue at Geary Boulevard,37.779036,-122.486066
22,7,1290 16th Avenue at Irving Street,37.7639903,-122.4736446
31,7,441 12th Avenue at Geary Boulevard,37.7798717,-122.4709544
34,7,499 41st Avenue at Geary Boulevard,37.7792768,-122.5018912
18,8,1935 32nd Avenue at Ortega Street,37.7509061,-122.4905279
20,8,285 Olympia Way at Clarendon Avenue,37.7511703,-122.4562239
23,8,1348 45th Avenue at Judah Street,37.7614111,-122.5046487
40,8,2155 18th Avenue at Rivera Street,37.7476471,-122.4754049
15,9,1000 Ocean Avenue at Phelan Avenue,37.7232908,-122.4529247
19,9,390 Buckingham Way at Winston Street,37.7278234,-122.4789421
33,9,8 Capital Street at Broad Street,37.7108786,-122.4586861
39,9,1091 Portola Drive at Miraloma Drive,37.7400312,-122.4586575
43,9,720 Moscow Street at France Avenue,37.7163609,-122.431631
9,10,2245 Jerrold Avenue at Upton Street,37.7452434,-122.4012488
17,10,1295 Shafter Avenue at Ingalls Street,37.7276617,-122.3850613
25,10,3305 3rd Street at Cargo Way,37.7479005,-122.3872773
37,10,798 Wisconsin Street at 22nd Street,37.7573061,-122.3989451
42,10,2430 San Bruno Avenue at Silver Avenue,37.7315794,-122.4055626
44,10,1298 Girard Street at Wilde Avenue,37.7166417,-122.4004505
49,10,1415 Evans Avenue at Mendell Street,37.740742,-122.3853284
